# Observation window: t in [0, 100.00]
# Time         Signal           Std. Dev
  0.2104836   121.9700083       7.92386
  0.8635118   121.4302672       8.00616
  1.0153939   118.7134946       8.01704
  1.1163351   124.9598393       8.02234
  1.1518875   126.5527553       8.02383
  1.9704976   119.3651401       8.00238
  2.2279513   103.8148642       7.97414
  2.3286651   106.2691425       7.96054
  3.9849851   103.6775938       7.60175
  3.9998767   107.3798644       7.59802
  5.7130995    91.8526976       7.25705
  5.8632595    89.3697635       7.24139
  5.8753596    74.9565994       7.24026
  5.9565030   101.6460378       7.23318
  6.5623248    75.0093151       7.20892
  7.5010054    94.6853364       7.26794
  8.0419209   108.7302980       7.34435
  8.1035734    89.6461768       7.35437
  8.2535051    99.5038246       7.37948
  9.1339641   104.9871393       7.53185
  9.4777270   107.3308365       7.58334
 10.4370233    99.8948843       7.65869
 10.6694741    98.4196382       7.65670
 10.9860671   106.2720419       7.63953
 12.5044872   106.3396953       7.34971
 12.7237624    85.8452501       7.28919
 13.3391130    84.1943338       7.11802
 13.4319428    93.0843026       7.09342
 13.4577095    86.0111221       7.08670
 15.5357428    77.1391898       6.84166
 16.0484136    83.7021014       6.88363
 16.5133065    97.4790530       6.94429
 16.5946276    93.3462634       6.95629
 16.6713796    86.2608580       6.96787
 18.0580102    90.1023320       7.16825
 19.0312654    78.7758734       7.23541
 19.8103562   101.1464128       7.22461
 19.9092369    96.7169714       7.21923
 20.9631315    83.6585266       7.11416
 22.3247804    89.6155589       6.89252
 22.6771517    86.9695400       6.83079
 23.1539664    77.1837860       6.75247
 23.1603552    80.7890361       6.75149
 24.0534102    76.1752823       6.64670
 24.2124250    82.1173806       6.63701
 24.8027123    73.8252108       6.63312
 24.8831362    72.8272010       6.63688
 24.9448825    82.7709650       6.64051
 25.2870801    84.9127381       6.67241
 25.5714085    80.1647125       6.71400
 26.0176512    83.2020171       6.80493
 26.5234202    90.4133076       6.93847
 27.0289347    81.8648030       7.09022
 27.5987645    80.5093672       7.26016
 27.8282694    92.5921727       7.32227
 28.5623287   113.9473351       7.47210
 28.8574854    90.1173452       7.50475
 29.1581063    96.1167766       7.51912
 29.6899705   112.4192569       7.49684
 29.8751900   105.6698212       7.47543
 30.6910622    93.2624478       7.31499
 30.7313644    94.5984611       7.30505
 31.0145319   100.3654173       7.23256
 31.8813256    80.0210428       7.01789
 32.3663729    95.8428279       6.93330
 32.5392215    84.1091855       6.91338
 33.6867736    84.8031103       6.94045
